Metabolite	Control_0_h_batch_10	Control_0_h_batch_11	Control_0_h_batch_9	Control_2_h_batch_10	Control_2_h_batch_11	Control_2_h_batch_9	Control_6_h_batch_10	Control_6_h_batch_11	Control_6_h_batch_9	Control_12_h_batch_10	Control_12_h_batch_11	Control_12_h_batch_9	Control_18_h_batch_10	Control_18_h_batch_11	Control_18_h_batch_9	Control_24_h_batch_10	Control_24_h_batch_11	Control_24_h_batch_9	Ikaros_0_h_batch_10	Ikaros_0_h_batch_11	Ikaros_0_h_batch_9	Ikaros_2_h_batch_10	Ikaros_2_h_batch_11	Ikaros_2_h_batch_9	Ikaros_6_h_batch_10	Ikaros_6_h_batch_11	Ikaros_6_h_batch_9	Ikaros_12_h_batch_10	Ikaros_12_h_batch_11	Ikaros_12_h_batch_9	Ikaros_18_h_batch_10	Ikaros_18_h_batch_11	Ikaros_18_h_batch_9	Ikaros_24_h_batch_10	Ikaros_24_h_batch_11	Ikaros_24_h_batch_9
taurine	-0.597453077760997	-0.866834275593521	-0.255641552313401	-0.684206498169053	-0.854610760980988	-0.776251117463497	-0.139456417222309	-0.265097867801036	-0.172145979447874	-0.227175263094158	-0.384532368166357	0.0806888765820521	-0.297023396729235	-0.320667671088011	-0.167708621789257	-0.374895597911635	-0.686511364893952	-0.444566529100708	-0.0424427705423605	-0.233825454209293	0.522441006671956	-0.796452374676073	-0.280659541757844	-0.272369445404675	-0.102611714194568	0.0270796051712453	0.189641341472629	-0.76471447482388	-0.714209171170866	-0.674928664297889	-0.999155402131921	-0.932511176013423	-1.37651905300852	-1.39817998193026	-1.65805406479662	-1.8959477993024
glycylglycine	-1.0987751595746	-1.07531605356213	-1.0430658347115	-1.11196945655791	-0.947856076417797	-1.10607700698181	-0.721581941054855	-0.698164017450709	-0.672574577400269	-0.57485260474223	-0.310270987163951	-0.546481655582401	-0.883167003273033	-0.864818942147308	-0.958149847503535	-0.977471176965919	-0.935638876051664	-0.961738838093826	-0.641327851007095	-0.69994806909008	-0.677974342636094	-0.831891188083179	-0.901722481117696	-0.956707916532514	-0.783819431284721	-0.753670791806218	-0.752737323203495	-0.958057506624347	-0.883295796149407	-0.83901086655017	-1.20830046322412	-1.0390554396544	-1.20363675100139	-1.44963420934712	-1.27095117655301	-1.26791917025347
Larginine	-3.0437580216046	-2.90211452877595	-2.98180010031543	-2.94428727077276	-2.7611063450928	-2.97545393258043	-2.65937511444637	-2.56450454943277	-2.57220159196132	-2.8260624878701	-2.0342549115969	-2.47905359319883	-2.78774688904527	-2.7597466015781	-2.98645331479866	-3.03788463554635	-2.77234815495843	-2.93448821221739	-2.55718154545451	-2.52765557306601	-2.7893185738946	-2.62257268128121	-2.84620368217946	-2.8310447845883	-2.74944794923198	-2.64551620357817	-2.72561967719104	-2.69459646963517	-2.65490412975886	-2.52567348117242	-2.98496870537434	-2.7205112967522	-2.97422523733894	-3.19977873261998	-3.04106417825383	-2.94415274473463
Lhomoserine	-1.58725436797986	-2.14090132575637	-1.70260602725199	-1.69154173260831	-2.02202763662899	-2.05561737913505	-1.42004699931818	-1.9121418957183	-1.49286943182984	-1.76215873437394	-1.47564683739179	-1.33963765769538	-1.74480828437038	-2.16991235605649	-1.22279538543823	-1.68046022672597	-2.07794659877257	-1.85852069604657	-1.37678798147158	-2.03361117742521	-0.997523367801813	-2.14213462736107	-1.50880979658261	-1.98782625992432	-1.57248911258535	-1.8297448395476	-1.7577642537361	-2.00739907782214	-2.13113370150256	-2.08662366782826	-2.37591074206793	-2.62677127434674	-2.04192813540759	-2.60258143090402	-2.80964221330836	-2.49556593338225
Lasparticacid	-0.580433947255747	-0.691889599049676	-0.412142239183314	-0.591571792597092	-0.648835215924584	-0.689944998318187	-0.207276274825805	-0.36489045038695	-0.184684227291922	0.482571958539983	-0.119507722906538	-0.0746054612277263	-0.452296935680952	-0.348791624256018	-0.39413584595863	-0.54893864241262	-0.573737028197932	-0.400351678079472	-0.0235187586109352	-0.0915699186851797	0.237124767542068	-0.403552301059083	-0.346880411655801	-0.487067469696289	-0.225333464829424	-0.256241683488144	0.0550216251951433	-0.351833883831132	-0.216626473401416	-0.297145826569748	-0.550061397203316	-0.233709438101517	-0.671393182383696	-0.653475759793467	-0.578771158545348	-0.776389478830593
ethanolamine	-1.74397203892495	-2.08534739037113	-2.03936479779941	-2.20205602300651	-2.03560023467912	-2.03555912657996	-1.95708683565672	-1.89789478124553	-1.76311261434645	-1.44370816652744	-1.51368002595803	-1.6549578136561	-1.96250255739024	-2.25297765588154	-1.88880506041416	-2.04726302730616	-2.10095997560891	-1.97771387637998	-1.88505369921612	-2.05065612973626	-1.88733185157862	-1.95840018974545	-1.82055301836336	-2.3110227142135	-1.88163850538022	-2.07560431988635	-2.02171073304692	-1.96088099456398	-1.99452254134843	-1.84119293844801	-2.02834344643196	-2.24047898735254	-1.74519078730126	-2.14312338305067	-2.24347456564002	-2.06337946452846
Lmethioninesulfoxide	-4.36264555734524	-4.75053333270744	-4.67401659301617	-4.54575708307365	-4.80259756295236	-4.66182410411839	-4.20191456175684	-4.43971010467766	-4.02023154576032	-3.68463015104568	-3.91908216256985	-4.03645887392601	-4.36939595073411	-4.73695815715633	-4.692350668183	-4.63231282743811	-4.43616627169332	-4.33113996952001	-4.14084235514581	-4.61893002902496	-4.33962437836247	-4.27229730360136	-4.60799643196782	-4.66143318718477	-4.16378625066558	-4.52265275637461	-4.419829794627	-4.15680673290822	-4.40409524061236	-4.03671881805826	-4.4656284336628	-4.6817976392237	-4.37618409870617	-4.88624163715431	-4.80865590193892	-4.74561430754596
gammaaminobutyricacid	-1.75964963955913	-1.98147282388953	-1.0866612454389	-1.67585015543197	-1.72384995888901	-1.69322851117518	-1.10578800594134	-1.25128472334698	-1.01322699442058	-1.16328616069922	-1.31384608697383	-0.62247589752827	-1.36777513335882	-1.29962299470501	-0.962706166154609	-1.35861318846163	-1.55872491856585	-1.25094959258228	-1.36080123490177	-1.39866225789977	-0.40523622332055	-1.73385950302248	-1.26458369231876	-1.0459625676958	-1.07156174770379	-0.760316769642815	-0.576751973532562	-1.88585148424636	-1.49618347239786	-1.46578905503797	-1.93981208623045	-1.75196024792405	-2.30482953478363	-2.11854015786301	-2.22744441774363	-2.39682962428212
L2aminoadipicacid	-0.81283535754292	-0.740132755941145	-0.395098897432994	-0.502414550487859	-0.635623738675897	-0.72420260675365	-0.322146208117787	-0.293927745905536	-0.212299670401094	-0.246555440063786	-0.0640741584727126	-0.0522948324487495	-0.482010062399089	-0.318747108478984	-0.558459882696602	-0.359186610296216	-0.585162441884983	-0.414126796873581	-0.379455243411603	-0.27210530678287	-0.0798178854864319	-0.469660713483773	-0.432751006637662	-0.614824249292181	-0.414003264015	-0.351726006866902	-0.231079082986483	-0.540270472794111	-0.505662980742735	-0.492577429756738	-0.776151392381838	-0.647539222649099	-0.982013193546927	-1.31149053602766	-1.0264243535318	-1.29229857637932
Lalphaaminobutyricacid	-1.07124048578321	-0.96069240747994	-0.944530058071206	-1.25509039370849	-0.995538044807425	-1.00869978356828	-0.653462181263783	-0.590604126723859	-0.565358132644991	-0.621496001200561	-0.189227160006578	-0.475875369147556	-0.808346988642074	-0.916817651351691	-0.996633709065016	-0.880362288782218	-0.927096032078849	-0.952728545954043	-0.607142152595579	-0.543665973750837	-0.581871117145613	-0.693671376255544	-0.909863011050674	-0.837572890910339	-0.76088191015833	-0.676324308054515	-0.695076955910086	-0.677880032775586	-0.823129468108233	-0.664219043931377	-1.18969952266867	-0.996764836935507	-1.05853033924481	-1.15363608548978	-1.23971360893182	-1.15738405152271
Ornithine	-3.54494733410463	-3.77966752037244	-2.52855210252228	-3.68026348077291	-3.66348776225897	-3.4463835294832	-3.56826659501774	-2.95313304606396	-3.36922074036879	0.553610978960878	-3.20925628814585	-3.32262515827255	-3.599547574764	-3.61623485960112	-3.95590457105945	-3.80945989000171	-3.70897218881727	-2.17017305392354	-3.55473658353147	-3.58926992136209	-3.50799000081746	-3.54018285902838	-3.65909269223916	-3.77119807696589	-3.61375936844308	-3.4842722811489	-3.48875256390748	-3.57686348838695	-3.30128154466245	-3.64415041099424	-3.86650036363971	-3.76775542067849	-3.72202599208615	-4.04438724510345	-3.01271552621248	-3.79577976325703
hydroxyLtryptophan	-3.25196408578767	-3.6878307619849	-4.30487006614229	-4.01769409904485	-3.75164092840326	-3.88197304507313	-4.61827610918017	-3.81979127712052	-3.8178290063312	-4.57642865042694	-3.56047131280163	-3.81598995231531	-4.22253795016929	-4.32686981566164	-3.5997372756914	-4.20779632862627	-3.90484762624691	-3.77673907334116	-3.52016379285659	-3.74893959097206	-4.02493778553238	-4.03675183537845	-3.60561589397868	-4.45858528891357	-3.84112399225543	-4.06273930928196	-4.35654504467629	-3.7452857378771	-3.72798593122875	-3.7307242200848	-3.87044161306121	-4.0338790086165	-3.42729307198107	-3.90055836572191	-3.96039470649786	-3.60589942760612
putrescine	-0.705359056452611	-0.906953180959251	-0.431645651459618	-0.459360373307927	-0.618622267965771	-0.704982334469888	0.151032964304255	0.0411061422110021	0.0174355826900393	-0.311617695770911	-0.377159714964281	0.157538605484161	-0.320631046698772	-0.287405963573584	-0.236823521621319	-0.355308631531786	-0.663030744915921	-0.382711353757863	-0.135818567637881	-0.352653582463824	0.265957346856438	-0.537118703875835	-0.0911734496611118	-0.33792402478486	0.237115292277432	0.347067129225525	0.455082034854656	-1.47867811950639	-1.32637351826737	-1.41239573164247	-2.47457018118227	-2.40910003022588	-2.58091865714659	-3.17078468652839	-3.44864487206168	-3.53576716216031
methyldopa	0.211365366030298	-0.164530430977779	0.57935756858186	0.0761512646445573	0.122572780741574	0.0976695730543309	0.665029465716862	0.353043878618552	0.726564074366599	0.456942914369881	0.240944543518666	0.957962596195336	0.471641049574801	0.3682487426844	0.77556498564287	0.597317382574398	0.18289218669941	0.548515546154605	1.44850951445472	0.942806910179287	2.0932071222855	1.04853345030696	1.29432911066808	1.38127664922339	1.60461464337275	1.37034236946035	1.78658481286735	0.62057638947112	0.957162456684762	0.833177561635862	0.893959579867208	0.879952514398621	0.530186463231386	0.882097664240918	0.453628176223676	0.354843586486016
Spermidine	4.06913780537396	3.64907775979496	4.49153662298673	4.2280617328036	4.0470007784138	4.35106896970485	4.95553659754327	4.15413527377984	4.61297516092946	4.38028378186257	4.84680308392057	5.00977378224794	4.35779691547588	4.33763352843644	4.57663170728727	4.40903877142175	4.20737345562924	4.40948231601317	4.31033890766493	4.34689630255551	4.79133699150376	4.10422778661648	4.36912443208811	3.45101376891947	3.47610503340512	5.15489053914722	4.5936915667888	3.61920363140203	4.03373815298823	3.6742088483304	3.33900755414945	3.13583048589837	3.65536309471603	3.27182517907557	3.11854686380835	2.74519813633391
Spermine	2.04410231136626	1.40534697463528	2.19404645505218	2.22155896108477	1.39248758589346	1.96104196313456	2.55528931616157	1.28854210762973	2.36107987726098	1.95782990211261	1.68804522611345	2.74420048947441	2.25603651399455	1.60685561042641	2.47476767637198	2.12091672101367	0.939612041680959	2.16159367607232	2.39100153745538	1.55130370316967	2.7957458710136	1.85006892290924	2.19886597700976	2.1654619835354	1.95267901179745	2.20055599729403	2.24587186987605	1.38484707833347	1.52414197654161	1.43956857160191	1.70969053318496	0.138117661602859	1.90966605856564	1.23519205839559	0.860691571905566	0.756111117738017
pyruvicacid	2.2850692059842	2.34233871885689	2.34608973810585	2.13076104770941	2.39617692818827	2.28919505086305	2.64976875199837	2.68099687346941	2.58966391217482	2.37246515168277	3.13797563269998	2.78917657799085	2.49949500170937	2.4129009495505	2.2817918123897	2.38687983406519	2.50723796523112	2.27083469106682	2.70637409221961	2.79436246257831	2.47988966032274	2.63044151077208	2.42091908278225	2.55210907917055	2.41945198925144	2.59955681550283	2.51780322958899	2.50900542362274	2.62250854729973	2.60833534750703	2.21784066685829	2.53716378476586	2.2437827741241	2.06188211308761	2.2856566361915	2.3492776725595
succinicacid	-0.397677789923046	-0.425126300682534	-0.336930626652181	-0.588148522959197	-0.20181175190131	-0.724233450823676	-0.0600932617107055	0.176650164775262	-0.053501630077141	-0.192560355067001	0.537364826454477	0.546394043008896	-0.0475280638251502	-0.181876766632279	-0.013585464686979	0.088825293088748	-0.21416070813317	-0.35641376629621	-0.114904715740676	-0.152103965817777	0.0654200503725958	-0.451364306840384	0.0623155653416314	-0.0658812830076737	-0.389638941169969	0.288519545349227	-0.251079955633167	-0.596261035995796	-0.236496173932689	-0.444700801500812	-0.985786635636014	-0.610630995443842	-0.896866032104296	-0.85820571891234	-0.981385121609181	-1.03803103109344
